
--- Run started 2026-02-08 17:56:26 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 76000/500000, Total Reward: 36464, Epsilon: 0.0100, Buffer: 100000
Episode 77000/500000, Total Reward: 33472, Epsilon: 0.0100, Buffer: 100000
Episode 78000/500000, Total Reward: 25568, Epsilon: 0.0100, Buffer: 100000
Episode 79000/500000, Total Reward: 33209, Epsilon: 0.0100, Buffer: 100000
Episode 80000/500000, Total Reward: 34526, Epsilon: 0.0100, Buffer: 100000
Episode 81000/500000, Total Reward: 31236, Epsilon: 0.0100, Buffer: 100000
Episode 82000/500000, Total Reward: 35379, Epsilon: 0.0100, Buffer: 100000
Episode 83000/500000, Total Reward: 34018, Epsilon: 0.0100, Buffer: 100000
Episode 84000/500000, Total Reward: 21267, Epsilon: 0.0100, Buffer: 100000
Episode 85000/500000, Total Reward: 34817, Epsilon: 0.0100, Buffer: 100000
Episode 86000/500000, Total Reward: 30275, Epsilon: 0.0100, Buffer: 100000
Episode 87000/500000, Total Reward: 31989, Epsilon: 0.0100, Buffer: 100000
Episode 88000/500000, Total Reward: 38428, Epsilon: 0.0100, Buffer: 100000
Episode 89000/500000, Total Reward: 34521, Epsilon: 0.0100, Buffer: 100000
Episode 90000/500000, Total Reward: 38364, Epsilon: 0.0100, Buffer: 100000
Episode 91000/500000, Total Reward: 29474, Epsilon: 0.0100, Buffer: 100000
Episode 92000/500000, Total Reward: 33985, Epsilon: 0.0100, Buffer: 100000
Episode 93000/500000, Total Reward: 32710, Epsilon: 0.0100, Buffer: 100000
Episode 94000/500000, Total Reward: 36016, Epsilon: 0.0100, Buffer: 100000
Episode 95000/500000, Total Reward: 30456, Epsilon: 0.0100, Buffer: 100000
Episode 96000/500000, Total Reward: 30755, Epsilon: 0.0100, Buffer: 100000
Episode 97000/500000, Total Reward: 23060, Epsilon: 0.0100, Buffer: 100000
Episode 98000/500000, Total Reward: 27426, Epsilon: 0.0100, Buffer: 100000
Episode 99000/500000, Total Reward: 31371, Epsilon: 0.0100, Buffer: 100000
Episode 100000/500000, Total Reward: 29358, Epsilon: 0.0100, Buffer: 100000
Episode 101000/500000, Total Reward: 26186, Epsilon: 0.0100, Buffer: 100000
Episode 102000/500000, Total Reward: 18817, Epsilon: 0.0100, Buffer: 100000
Episode 103000/500000, Total Reward: 33820, Epsilon: 0.0100, Buffer: 100000
Episode 104000/500000, Total Reward: 33092, Epsilon: 0.0100, Buffer: 100000
