
--- Run started 2026-01-31 21:11:52 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 1000/500000, Total Reward: 53952, Epsilon: 0.0100, Buffer: 100000
Episode 2000/500000, Total Reward: 44059, Epsilon: 0.0100, Buffer: 100000
Episode 3000/500000, Total Reward: 48284, Epsilon: 0.0100, Buffer: 100000
Episode 4000/500000, Total Reward: 54036, Epsilon: 0.0100, Buffer: 100000
Episode 5000/500000, Total Reward: 44192, Epsilon: 0.0100, Buffer: 100000
Episode 6000/500000, Total Reward: 47944, Epsilon: 0.0100, Buffer: 100000
Episode 7000/500000, Total Reward: 59532, Epsilon: 0.0100, Buffer: 100000
Episode 8000/500000, Total Reward: 44718, Epsilon: 0.0100, Buffer: 100000
Episode 9000/500000, Total Reward: 50339, Epsilon: 0.0100, Buffer: 100000
Episode 10000/500000, Total Reward: 43812, Epsilon: 0.0100, Buffer: 100000
Episode 11000/500000, Total Reward: 55684, Epsilon: 0.0100, Buffer: 100000
Episode 12000/500000, Total Reward: 48457, Epsilon: 0.0100, Buffer: 100000
Episode 13000/500000, Total Reward: 44516, Epsilon: 0.0100, Buffer: 100000
Episode 14000/500000, Total Reward: 40611, Epsilon: 0.0100, Buffer: 100000
Episode 15000/500000, Total Reward: 47393, Epsilon: 0.0100, Buffer: 100000
Episode 16000/500000, Total Reward: 29374, Epsilon: 0.0100, Buffer: 100000
Episode 17000/500000, Total Reward: 33426, Epsilon: 0.0100, Buffer: 100000
Episode 18000/500000, Total Reward: 44817, Epsilon: 0.0100, Buffer: 100000
Episode 19000/500000, Total Reward: 41398, Epsilon: 0.0100, Buffer: 100000
Episode 20000/500000, Total Reward: 54612, Epsilon: 0.0100, Buffer: 100000
Episode 21000/500000, Total Reward: 50047, Epsilon: 0.0100, Buffer: 100000
Episode 22000/500000, Total Reward: 40748, Epsilon: 0.0100, Buffer: 100000
Episode 23000/500000, Total Reward: 46259, Epsilon: 0.0100, Buffer: 100000
Episode 24000/500000, Total Reward: 52779, Epsilon: 0.0100, Buffer: 100000
