
--- Run started 2026-02-06 01:49:33 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 1000/500000, Total Reward: 30701, Epsilon: 0.0100, Buffer: 100000
Episode 2000/500000, Total Reward: 28247, Epsilon: 0.0100, Buffer: 100000
Episode 3000/500000, Total Reward: 24883, Epsilon: 0.0100, Buffer: 100000
Episode 4000/500000, Total Reward: 32169, Epsilon: 0.0100, Buffer: 100000
Episode 5000/500000, Total Reward: 31103, Epsilon: 0.0100, Buffer: 100000
Episode 6000/500000, Total Reward: 30392, Epsilon: 0.0100, Buffer: 100000
Episode 7000/500000, Total Reward: 31153, Epsilon: 0.0100, Buffer: 100000
Episode 8000/500000, Total Reward: 31397, Epsilon: 0.0100, Buffer: 100000
Episode 9000/500000, Total Reward: 24232, Epsilon: 0.0100, Buffer: 100000
Episode 10000/500000, Total Reward: 29122, Epsilon: 0.0100, Buffer: 100000
Episode 11000/500000, Total Reward: 39822, Epsilon: 0.0100, Buffer: 100000
Episode 12000/500000, Total Reward: 563, Epsilon: 0.0100, Buffer: 100000
Episode 13000/500000, Total Reward: 28114, Epsilon: 0.0100, Buffer: 100000
Episode 14000/500000, Total Reward: 35207, Epsilon: 0.0100, Buffer: 100000
Episode 15000/500000, Total Reward: 23698, Epsilon: 0.0100, Buffer: 100000
Episode 16000/500000, Total Reward: 302, Epsilon: 0.0100, Buffer: 100000
Episode 17000/500000, Total Reward: 31125, Epsilon: 0.0100, Buffer: 100000
Episode 18000/500000, Total Reward: 26575, Epsilon: 0.0100, Buffer: 100000
Episode 19000/500000, Total Reward: 34534, Epsilon: 0.0100, Buffer: 100000
Episode 20000/500000, Total Reward: 26082, Epsilon: 0.0100, Buffer: 100000
Episode 21000/500000, Total Reward: 27729, Epsilon: 0.0100, Buffer: 100000
Episode 22000/500000, Total Reward: 23900, Epsilon: 0.0100, Buffer: 100000
Episode 23000/500000, Total Reward: 38755, Epsilon: 0.0100, Buffer: 100000
Episode 24000/500000, Total Reward: 26936, Epsilon: 0.0100, Buffer: 100000
Episode 25000/500000, Total Reward: 34068, Epsilon: 0.0100, Buffer: 100000
Episode 26000/500000, Total Reward: 23372, Epsilon: 0.0100, Buffer: 100000
Episode 27000/500000, Total Reward: 25803, Epsilon: 0.0100, Buffer: 100000
Episode 28000/500000, Total Reward: 29613, Epsilon: 0.0100, Buffer: 100000
Episode 29000/500000, Total Reward: 39803, Epsilon: 0.0100, Buffer: 100000
Episode 30000/500000, Total Reward: 32757, Epsilon: 0.0100, Buffer: 100000
Episode 31000/500000, Total Reward: 22733, Epsilon: 0.0100, Buffer: 100000
Episode 32000/500000, Total Reward: 26401, Epsilon: 0.0100, Buffer: 100000
Episode 33000/500000, Total Reward: 23457, Epsilon: 0.0100, Buffer: 100000
Episode 34000/500000, Total Reward: 26865, Epsilon: 0.0100, Buffer: 100000
Episode 35000/500000, Total Reward: 34514, Epsilon: 0.0100, Buffer: 100000
Episode 36000/500000, Total Reward: 35765, Epsilon: 0.0100, Buffer: 100000
Episode 37000/500000, Total Reward: 27900, Epsilon: 0.0100, Buffer: 100000
Episode 38000/500000, Total Reward: 15811, Epsilon: 0.0100, Buffer: 100000
Episode 39000/500000, Total Reward: 26807, Epsilon: 0.0100, Buffer: 100000
Episode 40000/500000, Total Reward: 32376, Epsilon: 0.0100, Buffer: 100000
Episode 41000/500000, Total Reward: 34896, Epsilon: 0.0100, Buffer: 100000
Episode 42000/500000, Total Reward: 27336, Epsilon: 0.0100, Buffer: 100000
Episode 43000/500000, Total Reward: 30728, Epsilon: 0.0100, Buffer: 100000
Episode 44000/500000, Total Reward: 32493, Epsilon: 0.0100, Buffer: 100000
Episode 45000/500000, Total Reward: 25935, Epsilon: 0.0100, Buffer: 100000
Episode 46000/500000, Total Reward: 31731, Epsilon: 0.0100, Buffer: 100000
Episode 47000/500000, Total Reward: 21914, Epsilon: 0.0100, Buffer: 100000
Episode 48000/500000, Total Reward: 30121, Epsilon: 0.0100, Buffer: 100000
Episode 49000/500000, Total Reward: 32302, Epsilon: 0.0100, Buffer: 100000
Episode 50000/500000, Total Reward: 27161, Epsilon: 0.0100, Buffer: 100000
Episode 51000/500000, Total Reward: 31790, Epsilon: 0.0100, Buffer: 100000
Episode 52000/500000, Total Reward: 33377, Epsilon: 0.0100, Buffer: 100000
Episode 53000/500000, Total Reward: 35424, Epsilon: 0.0100, Buffer: 100000
Episode 54000/500000, Total Reward: 38131, Epsilon: 0.0100, Buffer: 100000
Episode 55000/500000, Total Reward: 35748, Epsilon: 0.0100, Buffer: 100000
Episode 56000/500000, Total Reward: 35242, Epsilon: 0.0100, Buffer: 100000
Episode 57000/500000, Total Reward: 30379, Epsilon: 0.0100, Buffer: 100000
Episode 58000/500000, Total Reward: 28032, Epsilon: 0.0100, Buffer: 100000
Episode 59000/500000, Total Reward: 33749, Epsilon: 0.0100, Buffer: 100000
Episode 60000/500000, Total Reward: 29346, Epsilon: 0.0100, Buffer: 100000
Episode 61000/500000, Total Reward: 26307, Epsilon: 0.0100, Buffer: 100000
Episode 62000/500000, Total Reward: 32412, Epsilon: 0.0100, Buffer: 100000
Episode 63000/500000, Total Reward: 23983, Epsilon: 0.0100, Buffer: 100000
Episode 64000/500000, Total Reward: 29357, Epsilon: 0.0100, Buffer: 100000
Episode 65000/500000, Total Reward: 27086, Epsilon: 0.0100, Buffer: 100000
Episode 66000/500000, Total Reward: 28951, Epsilon: 0.0100, Buffer: 100000
Episode 67000/500000, Total Reward: 27577, Epsilon: 0.0100, Buffer: 100000
Episode 68000/500000, Total Reward: 23630, Epsilon: 0.0100, Buffer: 100000
Episode 69000/500000, Total Reward: 36704, Epsilon: 0.0100, Buffer: 100000
Episode 70000/500000, Total Reward: 24688, Epsilon: 0.0100, Buffer: 100000
Episode 71000/500000, Total Reward: 28149, Epsilon: 0.0100, Buffer: 100000
Episode 72000/500000, Total Reward: 27114, Epsilon: 0.0100, Buffer: 100000
Episode 73000/500000, Total Reward: 32134, Epsilon: 0.0100, Buffer: 100000
Episode 74000/500000, Total Reward: 31333, Epsilon: 0.0100, Buffer: 100000
Episode 75000/500000, Total Reward: 39242, Epsilon: 0.0100, Buffer: 100000
Episode 76000/500000, Total Reward: 28582, Epsilon: 0.0100, Buffer: 100000
Episode 77000/500000, Total Reward: 35527, Epsilon: 0.0100, Buffer: 100000
Episode 78000/500000, Total Reward: 33407, Epsilon: 0.0100, Buffer: 100000
Episode 79000/500000, Total Reward: 28864, Epsilon: 0.0100, Buffer: 100000
Episode 80000/500000, Total Reward: 26778, Epsilon: 0.0100, Buffer: 100000
Episode 81000/500000, Total Reward: 36205, Epsilon: 0.0100, Buffer: 100000
Episode 82000/500000, Total Reward: 25082, Epsilon: 0.0100, Buffer: 100000
Episode 83000/500000, Total Reward: 27056, Epsilon: 0.0100, Buffer: 100000
Episode 84000/500000, Total Reward: 26437, Epsilon: 0.0100, Buffer: 100000
Episode 85000/500000, Total Reward: 39908, Epsilon: 0.0100, Buffer: 100000
Episode 86000/500000, Total Reward: 33186, Epsilon: 0.0100, Buffer: 100000
Episode 87000/500000, Total Reward: 29995, Epsilon: 0.0100, Buffer: 100000
Episode 88000/500000, Total Reward: 35392, Epsilon: 0.0100, Buffer: 100000
Episode 89000/500000, Total Reward: 29458, Epsilon: 0.0100, Buffer: 100000
Episode 90000/500000, Total Reward: 24833, Epsilon: 0.0100, Buffer: 100000
Episode 91000/500000, Total Reward: 31047, Epsilon: 0.0100, Buffer: 100000
Episode 92000/500000, Total Reward: 35734, Epsilon: 0.0100, Buffer: 100000
Episode 93000/500000, Total Reward: 19839, Epsilon: 0.0100, Buffer: 100000
Episode 94000/500000, Total Reward: 29943, Epsilon: 0.0100, Buffer: 100000
Episode 95000/500000, Total Reward: 25779, Epsilon: 0.0100, Buffer: 100000
Episode 96000/500000, Total Reward: 34446, Epsilon: 0.0100, Buffer: 100000
Episode 97000/500000, Total Reward: 41099, Epsilon: 0.0100, Buffer: 100000
Episode 98000/500000, Total Reward: 36350, Epsilon: 0.0100, Buffer: 100000
Episode 99000/500000, Total Reward: 33533, Epsilon: 0.0100, Buffer: 100000
Episode 100000/500000, Total Reward: 32627, Epsilon: 0.0100, Buffer: 100000
Episode 101000/500000, Total Reward: 34000, Epsilon: 0.0100, Buffer: 100000
Episode 102000/500000, Total Reward: 31831, Epsilon: 0.0100, Buffer: 100000
Episode 103000/500000, Total Reward: 35533, Epsilon: 0.0100, Buffer: 100000
Episode 104000/500000, Total Reward: 28425, Epsilon: 0.0100, Buffer: 100000
Episode 105000/500000, Total Reward: 34791, Epsilon: 0.0100, Buffer: 100000
Episode 106000/500000, Total Reward: 31435, Epsilon: 0.0100, Buffer: 100000
Episode 107000/500000, Total Reward: 38055, Epsilon: 0.0100, Buffer: 100000
Episode 108000/500000, Total Reward: 35708, Epsilon: 0.0100, Buffer: 100000
Episode 109000/500000, Total Reward: 28840, Epsilon: 0.0100, Buffer: 100000
Episode 110000/500000, Total Reward: 29701, Epsilon: 0.0100, Buffer: 100000
Episode 111000/500000, Total Reward: 23254, Epsilon: 0.0100, Buffer: 100000
