
--- Run started 2026-02-04 15:31:28 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 1000/500000, Total Reward: 7794, Epsilon: 0.0100, Buffer: 100000
Episode 2000/500000, Total Reward: -158, Epsilon: 0.0100, Buffer: 100000
Episode 3000/500000, Total Reward: 12500, Epsilon: 0.0100, Buffer: 100000
Episode 4000/500000, Total Reward: 15306, Epsilon: 0.0100, Buffer: 100000
Episode 5000/500000, Total Reward: 16049, Epsilon: 0.0100, Buffer: 100000
Episode 6000/500000, Total Reward: 11798, Epsilon: 0.0100, Buffer: 100000
Episode 7000/500000, Total Reward: 3306, Epsilon: 0.0100, Buffer: 100000
Episode 8000/500000, Total Reward: 11030, Epsilon: 0.0100, Buffer: 100000
Episode 9000/500000, Total Reward: 19431, Epsilon: 0.0100, Buffer: 100000
Episode 10000/500000, Total Reward: 11314, Epsilon: 0.0100, Buffer: 100000
Episode 11000/500000, Total Reward: 21588, Epsilon: 0.0100, Buffer: 100000
Episode 12000/500000, Total Reward: 7832, Epsilon: 0.0100, Buffer: 100000
Episode 13000/500000, Total Reward: 14786, Epsilon: 0.0100, Buffer: 100000
Episode 14000/500000, Total Reward: 12163, Epsilon: 0.0100, Buffer: 100000
Episode 15000/500000, Total Reward: 19371, Epsilon: 0.0100, Buffer: 100000
Episode 16000/500000, Total Reward: 3673, Epsilon: 0.0100, Buffer: 100000
Episode 17000/500000, Total Reward: -6866, Epsilon: 0.0100, Buffer: 100000
Episode 18000/500000, Total Reward: 15130, Epsilon: 0.0100, Buffer: 100000
Episode 19000/500000, Total Reward: 4446, Epsilon: 0.0100, Buffer: 100000
Episode 20000/500000, Total Reward: 18244, Epsilon: 0.0100, Buffer: 100000
Episode 21000/500000, Total Reward: 12078, Epsilon: 0.0100, Buffer: 100000
Episode 22000/500000, Total Reward: 16099, Epsilon: 0.0100, Buffer: 100000
Episode 23000/500000, Total Reward: 5500, Epsilon: 0.0100, Buffer: 100000
Episode 24000/500000, Total Reward: 6259, Epsilon: 0.0100, Buffer: 100000
Episode 25000/500000, Total Reward: -1236, Epsilon: 0.0100, Buffer: 100000
Episode 26000/500000, Total Reward: 16231, Epsilon: 0.0100, Buffer: 100000
Episode 27000/500000, Total Reward: 7963, Epsilon: 0.0100, Buffer: 100000
Episode 28000/500000, Total Reward: 15010, Epsilon: 0.0100, Buffer: 100000
Episode 29000/500000, Total Reward: 13835, Epsilon: 0.0100, Buffer: 100000
