
--- Run started 2026-01-31 21:12:24 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 1000/500000, Total Reward: 4505, Epsilon: 0.0100, Buffer: 100000
Episode 2000/500000, Total Reward: 7748, Epsilon: 0.0100, Buffer: 100000
Episode 3000/500000, Total Reward: 12064, Epsilon: 0.0100, Buffer: 100000
Episode 4000/500000, Total Reward: 11319, Epsilon: 0.0100, Buffer: 100000
Episode 5000/500000, Total Reward: 10911, Epsilon: 0.0100, Buffer: 100000
Episode 6000/500000, Total Reward: -5124, Epsilon: 0.0100, Buffer: 100000
Episode 7000/500000, Total Reward: 13276, Epsilon: 0.0100, Buffer: 100000
Episode 8000/500000, Total Reward: 17166, Epsilon: 0.0100, Buffer: 100000
Episode 9000/500000, Total Reward: 844, Epsilon: 0.0100, Buffer: 100000
Episode 10000/500000, Total Reward: 7803, Epsilon: 0.0100, Buffer: 100000
Episode 11000/500000, Total Reward: -2561, Epsilon: 0.0100, Buffer: 100000
Episode 12000/500000, Total Reward: 9918, Epsilon: 0.0100, Buffer: 100000
Episode 13000/500000, Total Reward: 16555, Epsilon: 0.0100, Buffer: 100000
Episode 14000/500000, Total Reward: 3450, Epsilon: 0.0100, Buffer: 100000
Episode 15000/500000, Total Reward: 3831, Epsilon: 0.0100, Buffer: 100000
Episode 16000/500000, Total Reward: -272, Epsilon: 0.0100, Buffer: 100000
Episode 17000/500000, Total Reward: 1008, Epsilon: 0.0100, Buffer: 100000
Episode 18000/500000, Total Reward: 20657, Epsilon: 0.0100, Buffer: 100000
Episode 19000/500000, Total Reward: 8282, Epsilon: 0.0100, Buffer: 100000
Episode 20000/500000, Total Reward: -1970, Epsilon: 0.0100, Buffer: 100000
Episode 21000/500000, Total Reward: 12379, Epsilon: 0.0100, Buffer: 100000
Episode 22000/500000, Total Reward: 6151, Epsilon: 0.0100, Buffer: 100000
Episode 23000/500000, Total Reward: 5855, Epsilon: 0.0100, Buffer: 100000
Episode 24000/500000, Total Reward: 5357, Epsilon: 0.0100, Buffer: 100000
Episode 25000/500000, Total Reward: 1707, Epsilon: 0.0100, Buffer: 100000
Episode 26000/500000, Total Reward: -2071, Epsilon: 0.0100, Buffer: 100000
Episode 27000/500000, Total Reward: 3695, Epsilon: 0.0100, Buffer: 100000
Episode 28000/500000, Total Reward: 14036, Epsilon: 0.0100, Buffer: 100000
Episode 29000/500000, Total Reward: 7054, Epsilon: 0.0100, Buffer: 100000
Episode 30000/500000, Total Reward: 21304, Epsilon: 0.0100, Buffer: 100000
Episode 31000/500000, Total Reward: 12289, Epsilon: 0.0100, Buffer: 100000
Episode 32000/500000, Total Reward: 7397, Epsilon: 0.0100, Buffer: 100000
Episode 33000/500000, Total Reward: 14226, Epsilon: 0.0100, Buffer: 100000
Episode 34000/500000, Total Reward: 10442, Epsilon: 0.0100, Buffer: 100000
Episode 35000/500000, Total Reward: 12936, Epsilon: 0.0100, Buffer: 100000
Episode 36000/500000, Total Reward: 14827, Epsilon: 0.0100, Buffer: 100000
Episode 37000/500000, Total Reward: 5367, Epsilon: 0.0100, Buffer: 100000
Episode 38000/500000, Total Reward: 5222, Epsilon: 0.0100, Buffer: 100000
Episode 39000/500000, Total Reward: 12881, Epsilon: 0.0100, Buffer: 100000
Episode 40000/500000, Total Reward: 6275, Epsilon: 0.0100, Buffer: 100000
Episode 41000/500000, Total Reward: 5057, Epsilon: 0.0100, Buffer: 100000
Episode 42000/500000, Total Reward: 4566, Epsilon: 0.0100, Buffer: 100000
Episode 43000/500000, Total Reward: 6553, Epsilon: 0.0100, Buffer: 100000
Episode 44000/500000, Total Reward: 5178, Epsilon: 0.0100, Buffer: 100000
Episode 45000/500000, Total Reward: 5428, Epsilon: 0.0100, Buffer: 100000
Episode 46000/500000, Total Reward: 21202, Epsilon: 0.0100, Buffer: 100000
Episode 47000/500000, Total Reward: 12911, Epsilon: 0.0100, Buffer: 100000
Episode 48000/500000, Total Reward: -310, Epsilon: 0.0100, Buffer: 100000
Episode 49000/500000, Total Reward: 20907, Epsilon: 0.0100, Buffer: 100000
Episode 50000/500000, Total Reward: 15405, Epsilon: 0.0100, Buffer: 100000
Episode 51000/500000, Total Reward: 14400, Epsilon: 0.0100, Buffer: 100000
Episode 52000/500000, Total Reward: 7892, Epsilon: 0.0100, Buffer: 100000
Episode 53000/500000, Total Reward: 3582, Epsilon: 0.0100, Buffer: 100000
Episode 54000/500000, Total Reward: 19452, Epsilon: 0.0100, Buffer: 100000
Episode 55000/500000, Total Reward: 12769, Epsilon: 0.0100, Buffer: 100000
Episode 56000/500000, Total Reward: 617, Epsilon: 0.0100, Buffer: 100000
Episode 57000/500000, Total Reward: 1241, Epsilon: 0.0100, Buffer: 100000
Episode 58000/500000, Total Reward: 12388, Epsilon: 0.0100, Buffer: 100000
Episode 59000/500000, Total Reward: 7644, Epsilon: 0.0100, Buffer: 100000
Episode 60000/500000, Total Reward: -20, Epsilon: 0.0100, Buffer: 100000
Episode 61000/500000, Total Reward: 10552, Epsilon: 0.0100, Buffer: 100000
Episode 62000/500000, Total Reward: 3834, Epsilon: 0.0100, Buffer: 100000
Episode 63000/500000, Total Reward: 18672, Epsilon: 0.0100, Buffer: 100000
Episode 64000/500000, Total Reward: 11490, Epsilon: 0.0100, Buffer: 100000
Episode 65000/500000, Total Reward: 9270, Epsilon: 0.0100, Buffer: 100000
Episode 66000/500000, Total Reward: 6628, Epsilon: 0.0100, Buffer: 100000
Episode 67000/500000, Total Reward: -636, Epsilon: 0.0100, Buffer: 100000
Episode 68000/500000, Total Reward: 1773, Epsilon: 0.0100, Buffer: 100000
Episode 69000/500000, Total Reward: 11949, Epsilon: 0.0100, Buffer: 100000
Episode 70000/500000, Total Reward: 7488, Epsilon: 0.0100, Buffer: 100000
Episode 71000/500000, Total Reward: 14808, Epsilon: 0.0100, Buffer: 100000
Episode 72000/500000, Total Reward: 18982, Epsilon: 0.0100, Buffer: 100000
Episode 73000/500000, Total Reward: 635, Epsilon: 0.0100, Buffer: 100000
Episode 74000/500000, Total Reward: 304, Epsilon: 0.0100, Buffer: 100000
Episode 75000/500000, Total Reward: 15514, Epsilon: 0.0100, Buffer: 100000
