
--- Run started 2026-02-02 03:10:50 ---

======================================================================
CREATING NEW MODEL
======================================================================

Starting fresh with epsilon: 1.0000
======================================================================

Starting DQN training for 500000 episodes...
Episode 1000/500000, Total Reward: 166, Epsilon: 0.0100, Buffer: 100000
Episode 2000/500000, Total Reward: 10238, Epsilon: 0.0100, Buffer: 100000
Episode 3000/500000, Total Reward: 9124, Epsilon: 0.0100, Buffer: 100000
Episode 4000/500000, Total Reward: 9808, Epsilon: 0.0100, Buffer: 100000
Episode 5000/500000, Total Reward: 5841, Epsilon: 0.0100, Buffer: 100000
Episode 6000/500000, Total Reward: 5144, Epsilon: 0.0100, Buffer: 100000
Episode 7000/500000, Total Reward: 6016, Epsilon: 0.0100, Buffer: 100000
Episode 8000/500000, Total Reward: 8445, Epsilon: 0.0100, Buffer: 100000
Episode 9000/500000, Total Reward: 11889, Epsilon: 0.0100, Buffer: 100000
Episode 10000/500000, Total Reward: 6190, Epsilon: 0.0100, Buffer: 100000
Episode 11000/500000, Total Reward: 5772, Epsilon: 0.0100, Buffer: 100000
Episode 12000/500000, Total Reward: 6658, Epsilon: 0.0100, Buffer: 100000
Episode 13000/500000, Total Reward: 11223, Epsilon: 0.0100, Buffer: 100000
Episode 14000/500000, Total Reward: 5246, Epsilon: 0.0100, Buffer: 100000
Episode 15000/500000, Total Reward: 7985, Epsilon: 0.0100, Buffer: 100000
Episode 16000/500000, Total Reward: 2156, Epsilon: 0.0100, Buffer: 100000
Episode 17000/500000, Total Reward: 11064, Epsilon: 0.0100, Buffer: 100000
Episode 18000/500000, Total Reward: 3998, Epsilon: 0.0100, Buffer: 100000
Episode 19000/500000, Total Reward: 7848, Epsilon: 0.0100, Buffer: 100000
Episode 20000/500000, Total Reward: 2308, Epsilon: 0.0100, Buffer: 100000
Episode 21000/500000, Total Reward: 10427, Epsilon: 0.0100, Buffer: 100000
Episode 22000/500000, Total Reward: 4454, Epsilon: 0.0100, Buffer: 100000
Episode 23000/500000, Total Reward: 7825, Epsilon: 0.0100, Buffer: 100000
Episode 24000/500000, Total Reward: 4682, Epsilon: 0.0100, Buffer: 100000
Episode 25000/500000, Total Reward: 3736, Epsilon: 0.0100, Buffer: 100000
Episode 26000/500000, Total Reward: 9105, Epsilon: 0.0100, Buffer: 100000
Episode 27000/500000, Total Reward: 7364, Epsilon: 0.0100, Buffer: 100000
Episode 28000/500000, Total Reward: 5136, Epsilon: 0.0100, Buffer: 100000
Episode 29000/500000, Total Reward: 10927, Epsilon: 0.0100, Buffer: 100000
Episode 30000/500000, Total Reward: 1875, Epsilon: 0.0100, Buffer: 100000
Episode 31000/500000, Total Reward: 7583, Epsilon: 0.0100, Buffer: 100000
Episode 32000/500000, Total Reward: 9202, Epsilon: 0.0100, Buffer: 100000
Episode 33000/500000, Total Reward: 7973, Epsilon: 0.0100, Buffer: 100000
Episode 34000/500000, Total Reward: 5925, Epsilon: 0.0100, Buffer: 100000
Episode 35000/500000, Total Reward: 3124, Epsilon: 0.0100, Buffer: 100000
Episode 36000/500000, Total Reward: 8628, Epsilon: 0.0100, Buffer: 100000
Episode 37000/500000, Total Reward: 4258, Epsilon: 0.0100, Buffer: 100000
Episode 38000/500000, Total Reward: 8808, Epsilon: 0.0100, Buffer: 100000
Episode 39000/500000, Total Reward: 4132, Epsilon: 0.0100, Buffer: 100000
Episode 40000/500000, Total Reward: -103, Epsilon: 0.0100, Buffer: 100000
Episode 41000/500000, Total Reward: 6051, Epsilon: 0.0100, Buffer: 100000
Episode 42000/500000, Total Reward: 5647, Epsilon: 0.0100, Buffer: 100000
Episode 43000/500000, Total Reward: 3164, Epsilon: 0.0100, Buffer: 100000
Episode 44000/500000, Total Reward: 9721, Epsilon: 0.0100, Buffer: 100000
Episode 45000/500000, Total Reward: 7291, Epsilon: 0.0100, Buffer: 100000
Episode 46000/500000, Total Reward: 7420, Epsilon: 0.0100, Buffer: 100000
Episode 47000/500000, Total Reward: 4829, Epsilon: 0.0100, Buffer: 100000
Episode 48000/500000, Total Reward: 10097, Epsilon: 0.0100, Buffer: 100000
Episode 49000/500000, Total Reward: 5720, Epsilon: 0.0100, Buffer: 100000
Episode 50000/500000, Total Reward: 1652, Epsilon: 0.0100, Buffer: 100000
Episode 51000/500000, Total Reward: 4482, Epsilon: 0.0100, Buffer: 100000
Episode 52000/500000, Total Reward: 10950, Epsilon: 0.0100, Buffer: 100000
Episode 53000/500000, Total Reward: 1996, Epsilon: 0.0100, Buffer: 100000
Episode 54000/500000, Total Reward: 5015, Epsilon: 0.0100, Buffer: 100000
Episode 55000/500000, Total Reward: 9472, Epsilon: 0.0100, Buffer: 100000
Episode 56000/500000, Total Reward: 7456, Epsilon: 0.0100, Buffer: 100000
Episode 57000/500000, Total Reward: 5834, Epsilon: 0.0100, Buffer: 100000
Episode 58000/500000, Total Reward: 1912, Epsilon: 0.0100, Buffer: 100000
Episode 59000/500000, Total Reward: 3786, Epsilon: 0.0100, Buffer: 100000
Episode 60000/500000, Total Reward: 8916, Epsilon: 0.0100, Buffer: 100000
Episode 61000/500000, Total Reward: 7855, Epsilon: 0.0100, Buffer: 100000
Episode 62000/500000, Total Reward: 6957, Epsilon: 0.0100, Buffer: 100000
Episode 63000/500000, Total Reward: 10646, Epsilon: 0.0100, Buffer: 100000
Episode 64000/500000, Total Reward: 6163, Epsilon: 0.0100, Buffer: 100000
Episode 65000/500000, Total Reward: 5467, Epsilon: 0.0100, Buffer: 100000
Episode 66000/500000, Total Reward: 8780, Epsilon: 0.0100, Buffer: 100000
Episode 67000/500000, Total Reward: 757, Epsilon: 0.0100, Buffer: 100000
Episode 68000/500000, Total Reward: 7134, Epsilon: 0.0100, Buffer: 100000
Episode 69000/500000, Total Reward: 7476, Epsilon: 0.0100, Buffer: 100000
Episode 70000/500000, Total Reward: 4187, Epsilon: 0.0100, Buffer: 100000
Episode 71000/500000, Total Reward: 8851, Epsilon: 0.0100, Buffer: 100000
Episode 72000/500000, Total Reward: 6981, Epsilon: 0.0100, Buffer: 100000
Episode 73000/500000, Total Reward: 10244, Epsilon: 0.0100, Buffer: 100000
Episode 74000/500000, Total Reward: 7440, Epsilon: 0.0100, Buffer: 100000
Episode 75000/500000, Total Reward: 10683, Epsilon: 0.0100, Buffer: 100000
Episode 76000/500000, Total Reward: 5552, Epsilon: 0.0100, Buffer: 100000
Episode 77000/500000, Total Reward: 2343, Epsilon: 0.0100, Buffer: 100000
Episode 78000/500000, Total Reward: 5823, Epsilon: 0.0100, Buffer: 100000
Episode 79000/500000, Total Reward: 9739, Epsilon: 0.0100, Buffer: 100000
Episode 80000/500000, Total Reward: 4950, Epsilon: 0.0100, Buffer: 100000
Episode 81000/500000, Total Reward: 9785, Epsilon: 0.0100, Buffer: 100000
Episode 82000/500000, Total Reward: 8447, Epsilon: 0.0100, Buffer: 100000
Episode 83000/500000, Total Reward: 236, Epsilon: 0.0100, Buffer: 100000
Episode 84000/500000, Total Reward: 5577, Epsilon: 0.0100, Buffer: 100000
Episode 85000/500000, Total Reward: 5784, Epsilon: 0.0100, Buffer: 100000
Episode 86000/500000, Total Reward: 10770, Epsilon: 0.0100, Buffer: 100000
Episode 87000/500000, Total Reward: 8273, Epsilon: 0.0100, Buffer: 100000
Episode 88000/500000, Total Reward: 10169, Epsilon: 0.0100, Buffer: 100000
Episode 89000/500000, Total Reward: 9384, Epsilon: 0.0100, Buffer: 100000
Episode 90000/500000, Total Reward: 3900, Epsilon: 0.0100, Buffer: 100000
Episode 91000/500000, Total Reward: 1808, Epsilon: 0.0100, Buffer: 100000
Episode 92000/500000, Total Reward: 9771, Epsilon: 0.0100, Buffer: 100000
Episode 93000/500000, Total Reward: 7235, Epsilon: 0.0100, Buffer: 100000
Episode 94000/500000, Total Reward: 8600, Epsilon: 0.0100, Buffer: 100000
Episode 95000/500000, Total Reward: 4499, Epsilon: 0.0100, Buffer: 100000
Episode 96000/500000, Total Reward: 12036, Epsilon: 0.0100, Buffer: 100000
Episode 97000/500000, Total Reward: 8062, Epsilon: 0.0100, Buffer: 100000
Episode 98000/500000, Total Reward: 11332, Epsilon: 0.0100, Buffer: 100000
Episode 99000/500000, Total Reward: 11548, Epsilon: 0.0100, Buffer: 100000
Episode 100000/500000, Total Reward: 4112, Epsilon: 0.0100, Buffer: 100000
Episode 101000/500000, Total Reward: 12045, Epsilon: 0.0100, Buffer: 100000
Episode 102000/500000, Total Reward: 8844, Epsilon: 0.0100, Buffer: 100000
Episode 103000/500000, Total Reward: 6272, Epsilon: 0.0100, Buffer: 100000
Episode 104000/500000, Total Reward: 4300, Epsilon: 0.0100, Buffer: 100000
Episode 105000/500000, Total Reward: 6851, Epsilon: 0.0100, Buffer: 100000
Episode 106000/500000, Total Reward: 8621, Epsilon: 0.0100, Buffer: 100000
Episode 107000/500000, Total Reward: 6018, Epsilon: 0.0100, Buffer: 100000
Episode 108000/500000, Total Reward: 2116, Epsilon: 0.0100, Buffer: 100000
Episode 109000/500000, Total Reward: 5758, Epsilon: 0.0100, Buffer: 100000
Episode 110000/500000, Total Reward: 8702, Epsilon: 0.0100, Buffer: 100000
Episode 111000/500000, Total Reward: 5307, Epsilon: 0.0100, Buffer: 100000
Episode 112000/500000, Total Reward: 5062, Epsilon: 0.0100, Buffer: 100000
Episode 113000/500000, Total Reward: 10683, Epsilon: 0.0100, Buffer: 100000
Episode 114000/500000, Total Reward: 4478, Epsilon: 0.0100, Buffer: 100000
Episode 115000/500000, Total Reward: 10658, Epsilon: 0.0100, Buffer: 100000
Episode 116000/500000, Total Reward: 6954, Epsilon: 0.0100, Buffer: 100000
Episode 117000/500000, Total Reward: 10652, Epsilon: 0.0100, Buffer: 100000
Episode 118000/500000, Total Reward: 5791, Epsilon: 0.0100, Buffer: 100000
Episode 119000/500000, Total Reward: 5063, Epsilon: 0.0100, Buffer: 100000
Episode 120000/500000, Total Reward: 8531, Epsilon: 0.0100, Buffer: 100000
Episode 121000/500000, Total Reward: 5240, Epsilon: 0.0100, Buffer: 100000
Episode 122000/500000, Total Reward: 7575, Epsilon: 0.0100, Buffer: 100000
Episode 123000/500000, Total Reward: 5753, Epsilon: 0.0100, Buffer: 100000
Episode 124000/500000, Total Reward: 9303, Epsilon: 0.0100, Buffer: 100000
Episode 125000/500000, Total Reward: 9055, Epsilon: 0.0100, Buffer: 100000
Episode 126000/500000, Total Reward: 8063, Epsilon: 0.0100, Buffer: 100000
Episode 127000/500000, Total Reward: 5404, Epsilon: 0.0100, Buffer: 100000
Episode 128000/500000, Total Reward: 10577, Epsilon: 0.0100, Buffer: 100000
Episode 129000/500000, Total Reward: 6193, Epsilon: 0.0100, Buffer: 100000
Episode 130000/500000, Total Reward: 4770, Epsilon: 0.0100, Buffer: 100000
Episode 131000/500000, Total Reward: 5638, Epsilon: 0.0100, Buffer: 100000
Episode 132000/500000, Total Reward: 8509, Epsilon: 0.0100, Buffer: 100000
Episode 133000/500000, Total Reward: 10328, Epsilon: 0.0100, Buffer: 100000
Episode 134000/500000, Total Reward: 9271, Epsilon: 0.0100, Buffer: 100000
Episode 135000/500000, Total Reward: 3776, Epsilon: 0.0100, Buffer: 100000
Episode 136000/500000, Total Reward: 9351, Epsilon: 0.0100, Buffer: 100000
Episode 137000/500000, Total Reward: 12780, Epsilon: 0.0100, Buffer: 100000
Episode 138000/500000, Total Reward: 4486, Epsilon: 0.0100, Buffer: 100000
Episode 139000/500000, Total Reward: 5797, Epsilon: 0.0100, Buffer: 100000
Episode 140000/500000, Total Reward: 4876, Epsilon: 0.0100, Buffer: 100000
Episode 141000/500000, Total Reward: 1365, Epsilon: 0.0100, Buffer: 100000
Episode 142000/500000, Total Reward: 7530, Epsilon: 0.0100, Buffer: 100000
Episode 143000/500000, Total Reward: 5535, Epsilon: 0.0100, Buffer: 100000
Episode 144000/500000, Total Reward: 8521, Epsilon: 0.0100, Buffer: 100000
Episode 145000/500000, Total Reward: 6616, Epsilon: 0.0100, Buffer: 100000
Episode 146000/500000, Total Reward: 6729, Epsilon: 0.0100, Buffer: 100000
Episode 147000/500000, Total Reward: 6168, Epsilon: 0.0100, Buffer: 100000
Episode 148000/500000, Total Reward: 5022, Epsilon: 0.0100, Buffer: 100000
Episode 149000/500000, Total Reward: 8473, Epsilon: 0.0100, Buffer: 100000
Episode 150000/500000, Total Reward: 4278, Epsilon: 0.0100, Buffer: 100000
Episode 151000/500000, Total Reward: 9446, Epsilon: 0.0100, Buffer: 100000
Episode 152000/500000, Total Reward: 6255, Epsilon: 0.0100, Buffer: 100000
Episode 153000/500000, Total Reward: 6769, Epsilon: 0.0100, Buffer: 100000
Episode 154000/500000, Total Reward: 5924, Epsilon: 0.0100, Buffer: 100000
Episode 155000/500000, Total Reward: 11264, Epsilon: 0.0100, Buffer: 100000
Episode 156000/500000, Total Reward: -1238, Epsilon: 0.0100, Buffer: 100000
Episode 157000/500000, Total Reward: 5911, Epsilon: 0.0100, Buffer: 100000
Episode 158000/500000, Total Reward: 4091, Epsilon: 0.0100, Buffer: 100000
Episode 159000/500000, Total Reward: 5381, Epsilon: 0.0100, Buffer: 100000
Episode 160000/500000, Total Reward: 2282, Epsilon: 0.0100, Buffer: 100000
Episode 161000/500000, Total Reward: 2660, Epsilon: 0.0100, Buffer: 100000
Episode 162000/500000, Total Reward: 3771, Epsilon: 0.0100, Buffer: 100000
Episode 163000/500000, Total Reward: 6846, Epsilon: 0.0100, Buffer: 100000
Episode 164000/500000, Total Reward: 6733, Epsilon: 0.0100, Buffer: 100000
Episode 165000/500000, Total Reward: 6810, Epsilon: 0.0100, Buffer: 100000
Episode 166000/500000, Total Reward: 9286, Epsilon: 0.0100, Buffer: 100000
Episode 167000/500000, Total Reward: 7313, Epsilon: 0.0100, Buffer: 100000
Episode 168000/500000, Total Reward: 5810, Epsilon: 0.0100, Buffer: 100000
Episode 169000/500000, Total Reward: 5360, Epsilon: 0.0100, Buffer: 100000
Episode 170000/500000, Total Reward: 8530, Epsilon: 0.0100, Buffer: 100000
Episode 171000/500000, Total Reward: 5934, Epsilon: 0.0100, Buffer: 100000
Episode 172000/500000, Total Reward: 7596, Epsilon: 0.0100, Buffer: 100000
Episode 173000/500000, Total Reward: 3220, Epsilon: 0.0100, Buffer: 100000
Episode 174000/500000, Total Reward: 5529, Epsilon: 0.0100, Buffer: 100000
Episode 175000/500000, Total Reward: 11646, Epsilon: 0.0100, Buffer: 100000
Episode 176000/500000, Total Reward: 7638, Epsilon: 0.0100, Buffer: 100000
Episode 177000/500000, Total Reward: 8517, Epsilon: 0.0100, Buffer: 100000
Episode 178000/500000, Total Reward: 6725, Epsilon: 0.0100, Buffer: 100000
Episode 179000/500000, Total Reward: 6114, Epsilon: 0.0100, Buffer: 100000
Episode 180000/500000, Total Reward: 5897, Epsilon: 0.0100, Buffer: 100000
Episode 181000/500000, Total Reward: 8129, Epsilon: 0.0100, Buffer: 100000
Episode 182000/500000, Total Reward: 7771, Epsilon: 0.0100, Buffer: 100000
Episode 183000/500000, Total Reward: 8973, Epsilon: 0.0100, Buffer: 100000
Episode 184000/500000, Total Reward: 2212, Epsilon: 0.0100, Buffer: 100000
Episode 185000/500000, Total Reward: 1687, Epsilon: 0.0100, Buffer: 100000
Episode 186000/500000, Total Reward: 5170, Epsilon: 0.0100, Buffer: 100000
Episode 187000/500000, Total Reward: -112, Epsilon: 0.0100, Buffer: 100000
Episode 188000/500000, Total Reward: 9247, Epsilon: 0.0100, Buffer: 100000
Episode 189000/500000, Total Reward: 4980, Epsilon: 0.0100, Buffer: 100000
Episode 190000/500000, Total Reward: -966, Epsilon: 0.0100, Buffer: 100000
Episode 191000/500000, Total Reward: 10472, Epsilon: 0.0100, Buffer: 100000
Episode 192000/500000, Total Reward: 6912, Epsilon: 0.0100, Buffer: 100000
Episode 193000/500000, Total Reward: 4177, Epsilon: 0.0100, Buffer: 100000
Episode 194000/500000, Total Reward: 9822, Epsilon: 0.0100, Buffer: 100000
Episode 195000/500000, Total Reward: 7257, Epsilon: 0.0100, Buffer: 100000
Episode 196000/500000, Total Reward: 6349, Epsilon: 0.0100, Buffer: 100000
Episode 197000/500000, Total Reward: 9734, Epsilon: 0.0100, Buffer: 100000
Episode 198000/500000, Total Reward: 7148, Epsilon: 0.0100, Buffer: 100000
Episode 199000/500000, Total Reward: 11514, Epsilon: 0.0100, Buffer: 100000
Episode 200000/500000, Total Reward: 8655, Epsilon: 0.0100, Buffer: 100000
Episode 201000/500000, Total Reward: 5673, Epsilon: 0.0100, Buffer: 100000
Episode 202000/500000, Total Reward: 7193, Epsilon: 0.0100, Buffer: 100000
Episode 203000/500000, Total Reward: 9383, Epsilon: 0.0100, Buffer: 100000
Episode 204000/500000, Total Reward: 6559, Epsilon: 0.0100, Buffer: 100000
Episode 205000/500000, Total Reward: 3989, Epsilon: 0.0100, Buffer: 100000
Episode 206000/500000, Total Reward: 6277, Epsilon: 0.0100, Buffer: 100000
Episode 207000/500000, Total Reward: 6485, Epsilon: 0.0100, Buffer: 100000
Episode 208000/500000, Total Reward: 4169, Epsilon: 0.0100, Buffer: 100000
Episode 209000/500000, Total Reward: 5455, Epsilon: 0.0100, Buffer: 100000
Episode 210000/500000, Total Reward: 11985, Epsilon: 0.0100, Buffer: 100000
Episode 211000/500000, Total Reward: 2961, Epsilon: 0.0100, Buffer: 100000
Episode 212000/500000, Total Reward: 6575, Epsilon: 0.0100, Buffer: 100000
Episode 213000/500000, Total Reward: 6389, Epsilon: 0.0100, Buffer: 100000
Episode 214000/500000, Total Reward: 8429, Epsilon: 0.0100, Buffer: 100000
Episode 215000/500000, Total Reward: 7857, Epsilon: 0.0100, Buffer: 100000
Episode 216000/500000, Total Reward: 11605, Epsilon: 0.0100, Buffer: 100000
Episode 217000/500000, Total Reward: 2529, Epsilon: 0.0100, Buffer: 100000
Episode 218000/500000, Total Reward: 6861, Epsilon: 0.0100, Buffer: 100000
Episode 219000/500000, Total Reward: 9440, Epsilon: 0.0100, Buffer: 100000
Episode 220000/500000, Total Reward: 10588, Epsilon: 0.0100, Buffer: 100000
Episode 221000/500000, Total Reward: 9027, Epsilon: 0.0100, Buffer: 100000
Episode 222000/500000, Total Reward: 6798, Epsilon: 0.0100, Buffer: 100000
Episode 223000/500000, Total Reward: 7526, Epsilon: 0.0100, Buffer: 100000
Episode 224000/500000, Total Reward: 5876, Epsilon: 0.0100, Buffer: 100000
Episode 225000/500000, Total Reward: 7264, Epsilon: 0.0100, Buffer: 100000
Episode 226000/500000, Total Reward: 6706, Epsilon: 0.0100, Buffer: 100000
Episode 227000/500000, Total Reward: 4463, Epsilon: 0.0100, Buffer: 100000
Episode 228000/500000, Total Reward: 6162, Epsilon: 0.0100, Buffer: 100000
Episode 229000/500000, Total Reward: 6929, Epsilon: 0.0100, Buffer: 100000
Episode 230000/500000, Total Reward: 8387, Epsilon: 0.0100, Buffer: 100000
Episode 231000/500000, Total Reward: 7713, Epsilon: 0.0100, Buffer: 100000
Episode 232000/500000, Total Reward: 6128, Epsilon: 0.0100, Buffer: 100000
Episode 233000/500000, Total Reward: 7363, Epsilon: 0.0100, Buffer: 100000
Episode 234000/500000, Total Reward: 3492, Epsilon: 0.0100, Buffer: 100000
Episode 235000/500000, Total Reward: 3392, Epsilon: 0.0100, Buffer: 100000
Episode 236000/500000, Total Reward: 7863, Epsilon: 0.0100, Buffer: 100000
Episode 237000/500000, Total Reward: -1962, Epsilon: 0.0100, Buffer: 100000
Episode 238000/500000, Total Reward: 8797, Epsilon: 0.0100, Buffer: 100000
Episode 239000/500000, Total Reward: 6918, Epsilon: 0.0100, Buffer: 100000
Episode 240000/500000, Total Reward: 10781, Epsilon: 0.0100, Buffer: 100000
Episode 241000/500000, Total Reward: -143, Epsilon: 0.0100, Buffer: 100000
Episode 242000/500000, Total Reward: 6205, Epsilon: 0.0100, Buffer: 100000
Episode 243000/500000, Total Reward: 4419, Epsilon: 0.0100, Buffer: 100000
Episode 244000/500000, Total Reward: 6460, Epsilon: 0.0100, Buffer: 100000
Episode 245000/500000, Total Reward: 2938, Epsilon: 0.0100, Buffer: 100000
Episode 246000/500000, Total Reward: 10599, Epsilon: 0.0100, Buffer: 100000
Episode 247000/500000, Total Reward: 9762, Epsilon: 0.0100, Buffer: 100000
Episode 248000/500000, Total Reward: 6970, Epsilon: 0.0100, Buffer: 100000
Episode 249000/500000, Total Reward: 9317, Epsilon: 0.0100, Buffer: 100000
Episode 250000/500000, Total Reward: 4020, Epsilon: 0.0100, Buffer: 100000
Episode 251000/500000, Total Reward: 11033, Epsilon: 0.0100, Buffer: 100000
