Parity,2025 Baseline,"Oversupply, Good","Oversupply, Bad","Undersupply, Good","Undersupply, Bad"
Springer,2.9,2.2,2.0,2.2,2.2
1,33.0,26.0,26.2,27.3,28.3
2,23.8,20.8,20.9,21.6,22.6
3,15.7,15.8,15.9,15.8,16.2
4,10.1,11.8,11.8,11.5,11.3
5,6.4,8.7,8.6,8.1,7.8
6,3.8,5.9,5.9,5.4,5.0
7,2.2,3.9,3.7,3.4,3.0
8,1.1,2.4,2.3,2.1,1.8
9,0.6,1.3,1.3,1.2,0.9
10,0.3,0.7,0.7,0.7,0.5
11,0.2,0.4,0.4,0.4,0.2
12,0.1,0.2,0.2,0.2,0.1
