Parity,Early (0-100 DIM) ($),SE,Mid (100-200 DIM) ($),SE,Late (200-305 DIM) ($),SE,Extended (>=305 DIM) ($),SE
1,337,28,348,7,309,7,242,7
2,399,19,362,9,299,7,230,6
3,406,19,364,8,298,6,226,6
4,404,22,365,7,299,5,222,7
5,411,16,361,7,299,6,220,6
6,408,16,360,6,295,6,210,6
7,400,16,359,6,292,6,205,6
8,385,14,352,6,286,6,202,6
9,370,12,347,5,279,7,196,5
10,360,11,340,5,269,6,187,6
11,350,8,329,6,261,6,177,6
12,339,7,319,8,250,6,163,7
Average,381,,350,,286,,207,
