scenario,metric,parity,mean,std_across_seeds,se_across_seeds
2025,overall_reward,all,47801.97385336381,85.93037215368979,38.429230693501076
2025,overall_discounted,all,4948.4709448675885,27.575015063541198,12.33192163253176
2025,annualized_reward,all,3186.7982568909206,5.728691476912653,2.5619487129000715
2025,parity_reward,0,48052.21108160195,177.039512138672,79.17447676909394
2025,parity_discounted,0,5469.871196479462,22.267991742673455,9.958548651804369
2025,parity_reward,1,47363.384829876246,67.64530913854969,30.251901918556968
2025,parity_discounted,1,5025.176806845803,11.733537487111906,5.247397487544857
2025,parity_reward,2,48070.119372704015,121.40718875746032,54.294945403765894
2025,parity_discounted,2,5329.159697320658,19.57626431012774,8.75477154858973
2025,parity_reward,3,48257.0951804722,124.77427846426156,55.800753697915376
2025,parity_discounted,3,5474.252031105242,22.9811243236071,10.27747123739187
2025,parity_reward,4,48220.269308496405,116.11169160898298,51.92672708403557
2025,parity_discounted,4,5517.7102917924285,29.37921118373159,13.13878266642918
2025,parity_reward,5,48168.72824055645,152.28275304949767,68.10291752389803
2025,parity_discounted,5,5485.93329917616,28.810826698916994,12.884593397348853
2025,parity_reward,6,48107.73404736741,135.74239016926984,60.705842369357306
2025,parity_discounted,6,5423.688095510766,36.59810446521442,16.367169886371606
2025,parity_reward,7,48163.09398117031,160.23761841497247,71.66044146571011
2025,parity_discounted,7,5348.872058555777,19.68434106689221,8.803104943572343
2025,parity_reward,8,47926.04714121569,99.73999674160284,44.60508255796629
2025,parity_discounted,8,5223.674118993379,36.52463915415806,16.334315200469568
2025,parity_reward,9,47887.75217648369,105.22284307896983,47.05708598207396
2025,parity_discounted,9,5140.672975051008,33.36389166416413,14.920785951001914
2025,parity_reward,10,47860.73437297719,195.0036507696033,87.20828379629242
2025,parity_discounted,10,5019.974847756764,38.64066607968264,17.280631210008135
2025,parity_reward,11,47674.66505631963,175.36125045448236,78.42393532711769
2025,parity_discounted,11,4903.982142747778,30.791456790694347,13.770358102048014
2025,parity_reward,12,47674.037131593475,292.79803569078496,130.94326229660095
2025,parity_discounted,12,4836.069675396955,68.01846873388116,30.418783962880465
2025,parity_fraction,0,0.028776666666666666,,0.0005351860181974806
2025,replacement_fraction,0,0.0,,0.0
2025,parity_fraction,1,0.3297377777777778,,0.003080777419122132
2025,replacement_fraction,1,0.21902561123301006,,0.008645002285265468
2025,parity_fraction,2,0.23796777777777778,,0.0009261419377659636
