parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
1,11,8,1,1715.56,1715.56,954.53,761.03,keep
1,12,0,0,1070.64,1070.64,889.47,181.17,keep
1,12,0,1,912.88,851.37,912.88,-61.50,replace
1,12,2,0,1657.10,1657.10,889.47,767.63,keep
1,12,2,1,1397.87,1397.87,912.88,485.00,keep
1,12,3,0,1704.36,1704.36,889.47,814.89,keep
1,12,3,1,1445.15,1445.15,912.88,532.27,keep
1,12,4,0,1747.47,1747.47,889.47,858.00,keep
1,12,4,1,1488.73,1488.73,912.88,575.86,keep
1,12,5,0,1785.54,1785.54,889.47,896.07,keep
1,12,5,1,1528.77,1528.77,912.88,615.90,keep
1,12,6,0,1817.48,1817.48,889.47,928.01,keep
1,12,6,1,1567.83,1567.83,912.88,654.95,keep
1,12,7,0,1841.91,1841.91,889.47,952.44,keep
1,12,7,1,1616.85,1616.85,912.88,703.97,keep
1,12,8,0,1856.47,1856.47,980.02,876.45,keep
1,12,8,1,1715.55,1715.55,954.53,761.03,keep
1,12,9,0,2068.94,2068.94,980.02,1088.92,keep
1,12,9,1,1876.45,1876.45,954.53,921.92,keep
1,13,0,0,1042.94,1042.94,894.15,148.79,keep
1,13,0,1,915.03,835.66,915.03,-79.36,replace
1,13,3,0,1663.81,1663.81,894.15,769.66,keep
1,13,3,1,1412.15,1412.15,915.03,497.13,keep
1,13,4,0,1713.63,1713.63,894.15,819.48,keep
1,13,4,1,1462.38,1462.38,915.03,547.35,keep
1,13,5,0,1759.05,1759.05,894.15,864.91,keep
1,13,5,1,1509.61,1509.61,915.03,594.59,keep
1,13,6,0,1799.06,1799.06,894.15,904.91,keep
1,13,6,1,1556.22,1556.22,915.03,641.19,keep
1,13,7,0,1832.29,1832.29,894.15,938.14,keep
1,13,7,1,1612.43,1612.43,915.03,697.41,keep
1,13,8,0,1856.46,1856.46,980.01,876.45,keep
1,13,8,1,1715.55,1715.55,954.52,761.03,keep
1,13,9,0,2068.93,2068.93,980.01,1088.92,keep
1,13,9,1,1876.44,1876.44,954.52,921.92,keep
1,14,0,0,1023.44,1023.44,898.71,124.73,keep
1,14,0,1,917.13,825.32,917.13,-91.81,replace
1,14,4,0,1680.87,1680.87,898.71,782.16,keep
1,14,4,1,1436.90,1436.90,917.13,519.78,keep
1,14,5,0,1733.37,1733.37,898.71,834.66,keep
1,14,5,1,1491.05,1491.05,917.13,573.92,keep
1,14,6,0,1781.15,1781.15,898.71,882.44,keep
1,14,6,1,1544.94,1544.94,917.13,627.82,keep
1,14,7,0,1822.90,1822.90,898.71,924.19,keep
1,14,7,1,1608.13,1608.13,917.13,691.01,keep
1,14,8,0,1856.46,1856.46,980.01,876.45,keep
1,14,8,1,1715.55,1715.55,954.52,761.03,keep
1,14,9,0,2068.93,2068.93,980.01,1088.92,keep
1,14,9,1,1876.44,1876.44,954.52,921.92,keep
1,15,0,0,1012.52,1012.52,903.14,109.38,keep
1,15,0,1,919.16,820.56,919.16,-98.60,replace
1,15,5,0,1708.58,1708.58,903.14,805.44,keep
1,15,5,1,1473.16,1473.16,919.16,553.99,keep
1,15,6,0,1763.83,1763.83,903.14,860.69,keep
1,15,6,1,1534.05,1534.05,919.16,614.89,keep
1,15,7,0,1813.81,1813.81,903.14,910.67,keep
1,15,7,1,1603.96,1603.96,919.16,684.80,keep
1,15,8,0,1856.46,1856.46,980.01,876.45,keep
1,15,8,1,1715.55,1715.55,954.52,761.03,keep
1,15,9,0,2068.93,2068.93,980.01,1088.92,keep
1,15,9,1,1876.44,1876.44,954.52,921.92,keep
1,16,0,0,1010.51,1010.51,907.41,103.10,keep
1,16,0,1,921.13,821.61,921.13,-99.51,replace
1,16,6,0,1747.16,1747.16,907.41,839.75,keep
1,16,6,1,1523.57,1523.57,921.13,602.44,keep
1,16,7,0,1805.04,1805.04,907.41,897.63,keep
1,16,7,1,1599.94,1599.94,921.13,678.82,keep
1,16,8,0,1856.46,1856.46,980.01,876.45,keep
1,16,8,1,1715.55,1715.55,954.52,761.03,keep
1,16,9,0,2068.93,2068.93,980.01,1088.92,keep
1,16,9,1,1876.44,1876.44,954.52,921.92,keep
1,17,0,0,1017.74,1017.74,911.51,106.23,keep
1,17,0,1,923.01,828.69,923.01,-94.32,replace
1,17,7,0,1796.62,1796.62,911.51,885.11,keep
1,17,7,1,1596.08,1596.08,923.01,673.07,keep
1,17,8,0,1856.46,1856.46,980.01,876.45,keep
1,17,8,1,1715.55,1715.55,954.52,761.03,keep
1,17,9,0,2068.93,2068.93,980.01,1088.92,keep
1,17,9,1,1876.44,1876.44,954.52,921.92,keep
1,18,0,0,1034.55,1034.55,915.44,119.11,keep
1,18,0,1,924.82,842.00,924.82,-82.82,replace
1,18,8,0,1856.46,1856.46,980.01,876.45,keep
1,18,8,1,1715.55,1715.55,954.52,761.03,keep
1,18,9,0,2068.93,2068.93,980.01,1088.92,keep
1,18,9,1,1876.44,1876.44,954.52,921.92,keep
1,19,0,0,1061.28,1061.28,919.19,142.09,keep
1,19,0,1,926.55,886.74,926.55,-39.81,replace
1,19,9,0,2068.93,2068.93,980.01,1088.92,keep
1,19,9,1,1876.44,1876.44,954.52,921.92,keep
1,20,0,0,1096.70,1096.70,922.76,173.94,keep
1,20,0,1,1006.50,1006.50,928.19,78.31,keep
2,1,0,0,2190.98,2190.98,985.29,1205.70,keep
2,1,0,1,1834.84,1834.84,1001.99,832.85,keep
2,2,0,0,2089.94,2089.94,921.95,1167.99,keep
2,2,0,1,1713.19,1713.19,961.87,751.32,keep
2,3,0,0,1973.50,1973.50,899.66,1073.84,keep
2,3,0,1,1581.67,1581.67,946.79,634.88,keep
2,4,0,0,1817.50,1817.50,894.85,922.65,keep
2,4,0,1,1435.40,1435.40,942.46,492.94,keep
2,4,1,0,2091.65,2091.65,894.85,1196.80,keep
2,4,1,1,1745.05,1745.05,942.46,802.60,keep
2,5,0,0,1664.38,1664.38,897.93,766.45,keep
2,5,0,1,1294.95,1294.95,942.95,352.00,keep
2,5,1,0,1985.37,1985.37,897.93,1087.44,keep
2,5,1,1,1652.61,1652.61,942.95,709.66,keep
2,5,2,0,2011.19,2011.19,897.93,1113.26,keep
2,5,2,1,1678.38,1678.38,942.95,735.43,keep
2,6,0,0,1517.19,1517.19,904.53,612.67,keep
2,6,0,1,1163.51,1163.51,945.57,217.94,keep
2,6,1,0,1881.83,1881.83,904.53,977.31,keep
2,6,1,1,1563.53,1563.53,945.57,617.96,keep
2,6,2,0,1918.36,1918.36,904.53,1013.83,keep
2,6,2,1,1599.96,1599.96,945.57,654.39,keep
2,6,3,0,1945.60,1945.60,904.53,1041.07,keep
2,6,3,1,1627.29,1627.29,945.57,681.72,keep
2,7,0,0,1379.39,1379.39,912.57,466.83,keep
2,7,0,1,1047.43,1047.43,949.09,98.35,keep
2,7,1,0,1782.06,1782.06,912.57,869.49,keep
2,7,1,1,1478.33,1478.33,949.09,529.24,keep
2,7,2,0,1828.58,1828.58,912.57,916.01,keep
2,7,2,1,1524.70,1524.70,949.09,575.61,keep
2,7,3,0,1867.11,1867.11,912.57,954.54,keep
2,7,3,1,1563.26,1563.26,949.09,614.17,keep
2,7,4,0,1895.83,1895.83,912.57,983.26,keep
2,7,4,1,1592.55,1592.55,949.09,643.47,keep
2,8,0,0,1254.37,1254.37,921.07,333.30,keep
2,8,0,1,962.32,962.32,952.92,9.40,keep
