parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
1,11,6,0,7848.63,7848.63,5847.67,2000.95,keep
1,11,6,1,7454.78,7454.78,5766.69,1688.09,keep
1,11,7,0,7969.32,7969.32,5847.67,2121.65,keep
1,11,7,1,7626.23,7626.23,5766.69,1859.54,keep
1,11,8,0,8074.52,8074.52,5910.12,2164.41,keep
1,11,8,1,7905.03,7905.03,5795.41,2109.62,keep
1,12,0,0,5850.79,5846.15,5850.79,-4.64,replace
1,12,0,1,5768.12,5544.55,5768.12,-223.57,replace
1,12,2,0,7184.62,7184.62,5850.79,1333.84,keep
1,12,2,1,6786.50,6786.50,5768.12,1018.38,keep
1,12,3,0,7349.10,7349.10,5850.79,1498.31,keep
1,12,3,1,6950.78,6950.78,5768.12,1182.66,keep
1,12,4,0,7509.64,7509.64,5850.79,1658.85,keep
1,12,4,1,7111.98,7111.98,5768.12,1343.85,keep
1,12,5,0,7664.71,7664.71,5850.79,1813.92,keep
1,12,5,1,7270.63,7270.63,5768.12,1502.51,keep
1,12,6,0,7812.49,7812.49,5850.79,1961.70,keep
1,12,6,1,7431.98,7431.98,5768.12,1663.86,keep
1,12,7,0,7950.52,7950.52,5850.79,2099.73,keep
1,12,7,1,7617.61,7617.61,5768.12,1849.48,keep
1,12,8,0,8074.52,8074.52,5910.11,2164.41,keep
1,12,8,1,7905.03,7905.03,5795.41,2109.62,keep
1,12,9,0,8583.85,8583.85,5910.11,2673.74,keep
1,12,9,1,8321.94,8321.94,5795.41,2526.53,keep
1,13,0,0,5853.85,5830.47,5853.85,-23.38,replace
1,13,0,1,5769.53,5538.37,5769.53,-231.16,replace
1,13,3,0,7271.20,7271.20,5853.85,1417.35,keep
1,13,3,1,6887.38,6887.38,5769.53,1117.85,keep
1,13,4,0,7444.62,7444.62,5853.85,1590.77,keep
1,13,4,1,7061.34,7061.34,5769.53,1291.80,keep
1,13,5,0,7613.84,7613.84,5853.85,1759.99,keep
1,13,5,1,7233.82,7233.82,5769.53,1464.28,keep
1,13,6,0,7777.10,7777.10,5853.85,1923.25,keep
1,13,6,1,7409.68,7409.68,5769.53,1640.15,keep
1,13,7,0,7932.04,7932.04,5853.85,2078.19,keep
1,13,7,1,7609.13,7609.13,5769.53,1839.59,keep
1,13,8,0,8074.52,8074.52,5910.11,2164.41,keep
1,13,8,1,7905.03,7905.03,5795.41,2109.62,keep
1,13,9,0,8583.85,8583.85,5910.11,2673.74,keep
1,13,9,1,8321.94,8321.94,5795.41,2526.53,keep
1,14,0,0,5856.84,5815.17,5856.84,-41.67,replace
1,14,0,1,5770.91,5532.33,5770.91,-238.58,replace
1,14,4,0,7381.69,7381.69,5856.84,1524.85,keep
1,14,4,1,7012.39,7012.39,5770.91,1241.48,keep
1,14,5,0,7564.50,7564.50,5856.84,1707.65,keep
1,14,5,1,7198.15,7198.15,5770.91,1427.24,keep
1,14,6,0,7742.69,7742.69,5856.84,1885.85,keep
1,14,6,1,7388.01,7388.01,5770.91,1617.10,keep
1,14,7,0,7914.02,7914.02,5856.84,2057.17,keep
1,14,7,1,7600.86,7600.86,5770.91,1829.95,keep
1,14,8,0,8074.51,8074.51,5910.11,2164.40,keep
1,14,8,1,7905.02,7905.02,5795.41,2109.62,keep
1,14,9,0,8583.85,8583.85,5910.11,2673.74,keep
1,14,9,1,8321.94,8321.94,5795.41,2526.53,keep
1,15,0,0,5859.74,5800.33,5859.74,-59.42,replace
1,15,0,1,5772.24,5526.46,5772.24,-245.78,replace
1,15,5,0,7516.88,7516.88,5859.74,1657.13,keep
1,15,5,1,7163.76,7163.76,5772.24,1391.52,keep
1,15,6,0,7709.42,7709.42,5859.74,1849.68,keep
1,15,6,1,7367.07,7367.07,5772.24,1594.83,keep
1,15,7,0,7896.55,7896.55,5859.74,2036.80,keep
1,15,7,1,7592.84,7592.84,5772.24,1820.60,keep
1,15,8,0,8074.51,8074.51,5910.11,2164.40,keep
1,15,8,1,7905.02,7905.02,5795.41,2109.62,keep
1,15,9,0,8583.85,8583.85,5910.11,2673.74,keep
1,15,9,1,8321.94,8321.94,5795.41,2526.53,keep
1,16,0,0,5862.54,5786.00,5862.54,-76.54,replace
1,16,0,1,5773.53,5520.79,5773.53,-252.74,replace
1,16,6,0,7677.39,7677.39,5862.54,1814.85,keep
1,16,6,1,7346.93,7346.93,5773.53,1573.40,keep
1,16,7,0,7879.70,7879.70,5862.54,2017.16,keep
1,16,7,1,7585.11,7585.11,5773.53,1811.58,keep
1,16,8,0,8074.51,8074.51,5910.11,2164.40,keep
1,16,8,1,7905.02,7905.02,5795.41,2109.62,keep
