parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
1,11,6,0,3433.33,3433.33,1649.99,1783.34,keep
1,11,6,1,3168.04,3168.04,1586.75,1581.29,keep
1,11,7,0,3537.72,3537.72,1649.99,1887.73,keep
1,11,7,1,3298.37,3298.37,1586.75,1711.61,keep
1,11,8,0,3636.34,3636.34,1745.30,1891.04,keep
1,11,8,1,3486.07,3486.07,1630.59,1855.48,keep
1,12,0,0,1654.74,1654.66,1654.74,-0.08,replace
1,12,0,1,1588.94,1450.40,1588.94,-138.54,replace
1,12,2,0,2941.85,2941.85,1654.74,1287.11,keep
1,12,2,1,2674.99,2674.99,1588.94,1086.06,keep
1,12,3,0,3061.08,3061.08,1654.74,1406.33,keep
1,12,3,1,2793.99,2793.99,1588.94,1205.06,keep
1,12,4,0,3180.08,3180.08,1654.74,1525.34,keep
1,12,4,1,2913.21,2913.21,1588.94,1324.27,keep
1,12,5,0,3298.17,3298.17,1654.74,1643.43,keep
1,12,5,1,3033.01,3033.01,1588.94,1444.07,keep
1,12,6,0,3414.51,3414.51,1654.74,1759.77,keep
1,12,6,1,3156.17,3156.17,1588.94,1567.23,keep
1,12,7,0,3527.93,3527.93,1654.74,1873.18,keep
1,12,7,1,3293.87,3293.87,1588.94,1704.93,keep
1,12,8,0,3636.33,3636.33,1745.29,1891.04,keep
1,12,8,1,3486.07,3486.07,1630.59,1855.48,keep
1,12,9,0,3947.77,3947.77,1745.29,2202.48,keep
1,12,9,1,3745.45,3745.45,1630.59,2114.86,keep
1,13,0,0,1659.42,1649.32,1659.42,-10.10,replace
1,13,0,1,1591.09,1449.49,1591.09,-141.60,replace
1,13,3,0,3020.53,3020.53,1659.42,1361.10,keep
1,13,3,1,2761.00,2761.00,1591.09,1169.91,keep
1,13,4,0,3146.24,3146.24,1659.42,1486.81,keep
1,13,4,1,2886.86,2886.86,1591.09,1295.77,keep
1,13,5,0,3271.69,3271.69,1659.42,1612.27,keep
1,13,5,1,3013.85,3013.85,1591.09,1422.76,keep
1,13,6,0,3396.09,3396.09,1659.42,1736.67,keep
1,13,6,1,3144.56,3144.56,1591.09,1553.47,keep
1,13,7,0,3518.31,3518.31,1659.42,1858.88,keep
1,13,7,1,3289.46,3289.46,1591.09,1698.37,keep
1,13,8,0,3636.33,3636.33,1745.29,1891.04,keep
1,13,8,1,3486.06,3486.06,1630.59,1855.48,keep
1,13,9,0,3947.76,3947.76,1745.29,2202.48,keep
1,13,9,1,3745.45,3745.45,1630.59,2114.86,keep
1,14,0,0,1663.99,1644.09,1663.99,-19.89,replace
1,14,0,1,1593.19,1448.58,1593.19,-144.61,replace
1,14,4,0,3113.48,3113.48,1663.99,1449.49,keep
1,14,4,1,2861.38,2861.38,1593.19,1268.19,keep
1,14,5,0,3246.01,3246.01,1663.99,1582.02,keep
1,14,5,1,2995.29,2995.29,1593.19,1402.10,keep
1,14,6,0,3378.18,3378.18,1663.99,1714.19,keep
1,14,6,1,3133.29,3133.29,1593.19,1540.10,keep
1,14,7,0,3508.92,3508.92,1663.99,1844.94,keep
1,14,7,1,3285.16,3285.16,1593.19,1691.97,keep
1,14,8,0,3636.33,3636.33,1745.29,1891.04,keep
1,14,8,1,3486.06,3486.06,1630.59,1855.47,keep
1,14,9,0,3947.76,3947.76,1745.29,2202.48,keep
1,14,9,1,3745.45,3745.45,1630.59,2114.86,keep
1,15,0,0,1668.41,1639.01,1668.41,-29.41,replace
1,15,0,1,1595.23,1447.69,1595.23,-147.54,replace
1,15,5,0,3221.22,3221.22,1668.41,1552.81,keep
1,15,5,1,2977.39,2977.39,1595.23,1382.17,keep
1,15,6,0,3360.86,3360.86,1668.41,1692.44,keep
1,15,6,1,3122.39,3122.39,1595.23,1527.17,keep
1,15,7,0,3499.83,3499.83,1668.41,1831.42,keep
1,15,7,1,3280.99,3280.99,1595.23,1685.76,keep
1,15,8,0,3636.33,3636.33,1745.29,1891.04,keep
1,15,8,1,3486.06,3486.06,1630.59,1855.47,keep
1,15,9,0,3947.76,3947.76,1745.29,2202.48,keep
1,15,9,1,3745.45,3745.45,1630.59,2114.86,keep
1,16,0,0,1672.68,1634.09,1672.68,-38.60,replace
1,16,0,1,1597.19,1446.82,1597.19,-150.37,replace
1,16,6,0,3344.18,3344.18,1672.68,1671.50,keep
1,16,6,1,3111.91,3111.91,1597.19,1514.72,keep
1,16,7,0,3491.06,3491.06,1672.68,1818.38,keep
1,16,7,1,3276.97,3276.97,1597.19,1679.78,keep
1,16,8,0,3636.33,3636.33,1745.29,1891.04,keep
1,16,8,1,3486.06,3486.06,1630.59,1855.47,keep
1,16,9,0,3947.76,3947.76,1745.29,2202.48,keep
1,16,9,1,3745.45,3745.45,1630.59,2114.86,keep
1,17,0,0,1676.79,1660.42,1676.79,-16.37,replace
1,17,0,1,1599.08,1466.53,1599.08,-132.55,replace
1,17,7,0,3482.64,3482.64,1676.79,1805.85,keep
1,17,7,1,3273.10,3273.10,1599.08,1674.03,keep
1,17,8,0,3636.33,3636.33,1745.29,1891.04,keep
1,17,8,1,3486.06,3486.06,1630.59,1855.47,keep
1,17,9,0,3947.76,3947.76,1745.29,2202.48,keep
1,17,9,1,3745.45,3745.45,1630.59,2114.86,keep
1,18,0,0,1714.14,1714.14,1680.71,33.43,keep
1,18,0,1,1600.88,1504.28,1600.88,-96.61,replace
1,18,8,0,3636.33,3636.33,1745.29,1891.04,keep
1,18,8,1,3486.06,3486.06,1630.59,1855.47,keep
1,18,9,0,3947.76,3947.76,1745.29,2202.48,keep
1,18,9,1,3745.45,3745.45,1630.59,2114.86,keep
1,19,0,0,1780.60,1780.60,1684.47,96.13,keep
1,19,0,1,1602.61,1573.15,1602.61,-29.45,replace
1,19,9,0,3947.76,3947.76,1745.29,2202.48,keep
1,19,9,1,3745.45,3745.45,1630.59,2114.86,keep
1,20,0,0,1858.90,1858.90,1688.04,170.86,keep
1,20,0,1,1675.84,1675.84,1604.25,71.59,keep
2,1,0,0,3058.39,3058.39,1968.15,1090.24,keep
2,1,0,1,2691.64,2691.64,1884.76,806.88,keep
2,2,0,0,3007.92,3007.92,1904.82,1103.10,keep
2,2,0,1,2614.48,2614.48,1844.64,769.84,keep
2,3,0,0,2945.36,2945.36,1882.53,1062.83,keep
2,3,0,1,2517.42,2517.42,1829.56,687.85,keep
2,4,0,0,2776.58,2776.58,1877.71,898.87,keep
2,4,0,1,2358.87,2358.87,1825.23,533.64,keep
2,4,1,0,3282.01,3282.01,1877.71,1404.29,keep
2,4,1,1,2925.99,2925.99,1825.23,1100.76,keep
2,5,0,0,2611.17,2611.17,1880.80,730.37,keep
2,5,0,1,2206.96,2206.96,1825.72,381.24,keep
2,5,1,0,3175.74,3175.74,1880.80,1294.94,keep
2,5,1,1,2833.54,2833.54,1825.72,1007.82,keep
2,5,2,0,3269.70,3269.70,1880.80,1388.90,keep
2,5,2,1,2927.16,2927.16,1825.72,1101.44,keep
2,6,0,0,2453.03,2453.03,1887.39,565.64,keep
2,6,0,1,2065.71,2065.71,1828.34,237.37,keep
2,6,1,0,3072.20,3072.20,1887.39,1184.81,keep
2,6,1,1,2744.47,2744.47,1828.34,916.12,keep
2,6,2,0,3176.87,3176.87,1887.39,1289.48,keep
2,6,2,1,2848.74,2848.74,1828.34,1020.40,keep
2,6,3,0,3276.00,3276.00,1887.39,1388.61,keep
2,6,3,1,2947.67,2947.67,1828.34,1119.32,keep
2,7,0,0,2306.71,2306.71,1895.43,411.28,keep
2,7,0,1,1942.22,1942.22,1831.86,110.35,keep
2,7,1,0,2972.42,2972.42,1895.43,1076.99,keep
2,7,1,1,2659.27,2659.27,1831.86,827.40,keep
2,7,2,0,3087.08,3087.08,1895.43,1191.65,keep
2,7,2,1,2773.49,2773.49,1831.86,941.62,keep
2,7,3,0,3197.52,3197.52,1895.43,1302.09,keep
2,7,3,1,2883.63,2883.63,1831.86,1051.77,keep
2,7,4,0,3302.10,3302.10,1895.43,1406.67,keep
2,7,4,1,2988.47,2988.47,1831.86,1156.60,keep
2,8,0,0,2176.93,2176.93,1903.93,273.00,keep
2,8,0,1,1851.94,1851.94,1835.69,16.25,keep
2,8,1,0,2877.27,2877.27,1903.93,973.34,keep
2,8,1,1,2578.44,2578.44,1835.69,742.74,keep
2,8,2,0,3001.21,3001.21,1903.93,1097.28,keep
2,8,2,1,2701.89,2701.89,1835.69,866.20,keep
2,8,3,0,3122.19,3122.19,1903.93,1218.26,keep
2,8,3,1,2822.52,2822.52,1835.69,986.83,keep
2,8,4,0,3238.69,3238.69,1903.93,1334.76,keep
2,8,4,1,2939.15,2939.15,1835.69,1103.46,keep
2,8,5,0,3348.98,3348.98,1903.93,1445.05,keep
2,8,5,1,3051.25,3051.25,1835.69,1215.56,keep
2,9,0,0,2067.33,2067.33,1912.40,154.93,keep
2,9,0,1,1839.56,1781.05,1839.56,-58.50,replace
2,9,1,0,2787.33,2787.33,1912.40,874.93,keep
2,9,1,1,2502.33,2502.33,1839.56,662.78,keep
2,9,2,0,2919.86,2919.86,1912.40,1007.46,keep
2,9,2,1,2634.33,2634.33,1839.56,794.77,keep
2,9,3,0,3050.63,3050.63,1912.40,1138.23,keep
2,9,3,1,2764.69,2764.69,1839.56,925.13,keep
2,9,4,0,3178.26,3178.26,1912.40,1265.86,keep
2,9,4,1,2892.34,2892.34,1839.56,1052.78,keep
2,9,5,0,3301.13,3301.13,1912.40,1388.73,keep
2,9,5,1,3016.74,3016.74,1839.56,1177.18,keep
2,9,6,0,3417.29,3417.29,1912.40,1504.89,keep
2,9,6,1,3139.90,3139.90,1839.56,1300.35,keep
2,10,0,0,1982.80,1982.80,1920.61,62.19,keep
2,10,0,1,1843.31,1728.22,1843.31,-115.09,replace
2,10,1,0,2702.95,2702.95,1920.61,782.34,keep
2,10,1,1,2431.13,2431.13,1843.31,587.81,keep
2,10,2,0,2843.39,2843.39,1920.61,922.79,keep
2,10,2,1,2571.01,2571.01,1843.31,727.69,keep
2,10,3,0,2983.22,2983.22,1920.61,1062.62,keep
2,10,3,1,2710.37,2710.37,1843.31,867.06,keep
2,10,4,0,3121.19,3121.19,1920.61,1200.58,keep
2,10,4,1,2848.24,2848.24,1843.31,1004.93,keep
2,10,5,0,3255.80,3255.80,1920.61,1335.20,keep
2,10,5,1,2984.12,2984.12,1843.31,1140.81,keep
2,10,6,0,3385.27,3385.27,1920.61,1464.66,keep
2,10,6,1,3119.78,3119.78,1843.31,1276.46,keep
2,10,7,0,3507.17,3507.17,1920.61,1586.56,keep
