parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
1,11,7,0,5284.33,5284.33,4235.68,1048.66,keep
1,11,7,1,4997.42,4997.42,4180.26,817.16,keep
1,11,8,0,5359.11,5359.11,4314.55,1044.56,keep
1,11,8,1,5203.76,5203.76,4216.54,987.22,keep
1,12,0,0,4239.61,4213.84,4239.61,-25.77,replace
1,12,0,1,4182.06,3966.93,4182.06,-215.14,replace
1,12,2,0,4710.04,4710.04,4239.61,470.43,keep
1,12,2,1,4381.42,4381.42,4182.06,199.36,keep
1,12,3,0,4831.09,4831.09,4239.61,591.48,keep
1,12,3,1,4502.32,4502.32,4182.06,320.26,keep
1,12,4,0,4948.93,4948.93,4239.61,709.32,keep
1,12,4,1,4620.67,4620.67,4182.06,438.61,keep
1,12,5,0,5062.38,5062.38,4239.61,822.76,keep
1,12,5,1,4736.85,4736.85,4182.06,554.78,keep
1,12,6,0,5170.04,5170.04,4239.61,930.43,keep
1,12,6,1,4854.80,4854.80,4182.06,672.73,keep
1,12,7,0,5270.04,5270.04,4239.61,1030.43,keep
1,12,7,1,4990.86,4990.86,4182.06,808.80,keep
1,12,8,0,5359.11,5359.11,4314.55,1044.56,keep
1,12,8,1,5203.75,5203.75,4216.53,987.22,keep
1,12,9,0,5740.87,5740.87,4314.55,1426.33,keep
1,12,9,1,5513.77,5513.77,4216.53,1297.24,keep
1,13,0,0,4243.48,4203.33,4243.48,-40.15,replace
1,13,0,1,4183.84,3963.38,4183.84,-220.47,replace
1,13,3,0,4771.87,4771.87,4243.48,528.38,keep
1,13,3,1,4454.13,4454.13,4183.84,270.28,keep
1,13,4,0,4899.50,4899.50,4243.48,656.01,keep
1,13,4,1,4582.17,4582.17,4183.84,398.33,keep
1,13,5,0,5023.70,5023.70,4243.48,780.22,keep
1,13,5,1,4708.86,4708.86,4183.84,525.01,keep
1,13,6,0,5143.13,5143.13,4243.48,899.65,keep
1,13,6,1,4837.84,4837.84,4183.84,654.00,keep
1,13,7,0,5255.98,5255.98,4243.48,1012.50,keep
1,13,7,1,4984.41,4984.41,4183.84,800.57,keep
1,13,8,0,5359.10,5359.10,4314.54,1044.56,keep
1,13,8,1,5203.75,5203.75,4216.53,987.22,keep
1,13,9,0,5740.87,5740.87,4314.54,1426.33,keep
1,13,9,1,5513.77,5513.77,4216.53,1297.24,keep
1,14,0,0,4247.26,4193.07,4247.26,-54.19,replace
1,14,0,1,4185.58,3959.90,4185.58,-225.68,replace
1,14,4,0,4851.65,4851.65,4247.26,604.39,keep
1,14,4,1,4544.96,4544.96,4185.58,359.38,keep
1,14,5,0,4986.18,4986.18,4247.26,738.92,keep
1,14,5,1,4681.74,4681.74,4185.58,496.16,keep
1,14,6,0,5116.97,5116.97,4247.26,869.71,keep
1,14,6,1,4821.37,4821.37,4185.58,635.79,keep
1,14,7,0,5242.28,5242.28,4247.26,995.02,keep
1,14,7,1,4978.13,4978.13,4185.58,792.55,keep
