parity,mac,mip,cm,V,Q_keep,Q_replace,cow_value,action
1,11,6,1,5865.22,5865.22,5084.99,780.23,keep
1,11,7,0,6282.04,6282.04,5076.76,1205.28,keep
1,11,7,1,5947.94,5947.94,5084.99,862.95,keep
1,11,8,0,6293.34,6293.34,5139.20,1154.14,keep
1,11,8,1,6133.19,6133.19,5113.71,1019.48,keep
1,12,0,0,5138.30,5138.30,5079.87,58.43,keep
1,12,0,1,5086.42,4861.77,5086.42,-224.64,replace
1,12,2,0,5898.86,5898.86,5079.87,818.99,keep
1,12,2,1,5508.36,5508.36,5086.42,421.94,keep
1,12,3,0,5991.33,5991.33,5079.87,911.45,keep
1,12,3,1,5600.87,5600.87,5086.42,514.45,keep
1,12,4,0,6075.93,6075.93,5079.87,996.06,keep
1,12,4,1,5686.38,5686.38,5086.42,599.96,keep
1,12,5,0,6150.93,6150.93,5079.87,1071.05,keep
1,12,5,1,5765.23,5765.23,5086.42,678.81,keep
1,12,6,0,6214.26,6214.26,5079.87,1134.39,keep
1,12,6,1,5842.42,5842.42,5086.42,756.00,keep
1,12,7,0,6263.24,6263.24,5079.87,1183.37,keep
1,12,7,1,5939.31,5939.31,5086.42,852.89,keep
1,12,8,0,6293.34,6293.34,5139.20,1154.14,keep
1,12,8,1,6133.18,6133.18,5113.71,1019.48,keep
1,12,9,0,6703.65,6703.65,5139.20,1564.45,keep
1,12,9,1,6451.53,6451.53,5113.71,1337.82,keep
1,13,0,0,5104.27,5104.27,5082.94,21.33,keep
1,13,0,1,5087.83,4843.44,5087.83,-244.39,replace
1,13,3,0,5913.43,5913.43,5082.94,830.49,keep
1,13,3,1,5537.47,5537.47,5087.83,449.64,keep
1,13,4,0,6010.91,6010.91,5082.94,927.98,keep
1,13,4,1,5635.74,5635.74,5087.83,547.91,keep
1,13,5,0,6100.05,6100.05,5082.94,1017.12,keep
1,13,5,1,5728.41,5728.41,5087.83,640.58,keep
1,13,6,0,6178.87,6178.87,5082.94,1095.94,keep
1,13,6,1,5820.12,5820.12,5087.83,732.29,keep
1,13,7,0,6244.76,6244.76,5082.94,1161.82,keep
1,13,7,1,5930.83,5930.83,5087.83,843.00,keep
1,13,8,0,6293.34,6293.34,5139.20,1154.14,keep
1,13,8,1,6133.18,6133.18,5113.71,1019.48,keep
1,13,9,0,6703.65,6703.65,5139.20,1564.45,keep
1,13,9,1,6451.53,6451.53,5113.71,1337.82,keep
1,14,0,0,5087.50,5087.50,5085.93,1.57,keep
1,14,0,1,5089.20,4836.43,5089.20,-252.78,replace
1,14,4,0,5947.98,5947.98,5085.93,862.05,keep
1,14,4,1,5586.79,5586.79,5089.20,497.59,keep
1,14,5,0,6050.71,6050.71,5085.93,964.78,keep
1,14,5,1,5692.74,5692.74,5089.20,603.54,keep
1,14,6,0,6144.46,6144.46,5085.93,1058.54,keep
1,14,6,1,5798.45,5798.45,5089.20,709.25,keep
1,14,7,0,6226.74,6226.74,5085.93,1140.81,keep
1,14,7,1,5922.56,5922.56,5089.20,833.36,keep
1,14,8,0,6293.33,6293.33,5139.19,1154.14,keep
1,14,8,1,6133.18,6133.18,5113.71,1019.48,keep
1,14,9,0,6703.65,6703.65,5139.19,1564.45,keep
1,14,9,1,6451.53,6451.53,5113.71,1337.82,keep
1,15,0,0,5088.83,5072.66,5088.83,-16.17,replace
1,15,0,1,5090.54,4830.56,5090.54,-259.98,replace
1,15,5,0,6003.09,6003.09,5088.83,914.26,keep
1,15,5,1,5658.36,5658.36,5090.54,567.82,keep
1,15,6,0,6111.19,6111.19,5088.83,1022.36,keep
1,15,6,1,5777.51,5777.51,5090.54,686.98,keep
1,15,7,0,6209.27,6209.27,5088.83,1120.44,keep
1,15,7,1,5914.55,5914.55,5090.54,824.01,keep
1,15,8,0,6293.33,6293.33,5139.19,1154.14,keep
1,15,8,1,6133.18,6133.18,5113.71,1019.48,keep
1,15,9,0,6703.65,6703.65,5139.19,1564.45,keep
1,15,9,1,6451.53,6451.53,5113.71,1337.82,keep
1,16,0,0,5091.63,5088.48,5091.63,-3.15,replace
1,16,0,1,5091.82,4844.84,5091.82,-246.98,replace
1,16,6,0,6079.16,6079.16,5091.63,987.53,keep
1,16,6,1,5757.37,5757.37,5091.82,665.55,keep
1,16,7,0,6192.42,6192.42,5091.63,1100.80,keep
1,16,7,1,5906.82,5906.82,5091.82,814.99,keep
1,16,8,0,6293.33,6293.33,5139.19,1154.14,keep
1,16,8,1,6133.18,6133.18,5113.70,1019.48,keep
1,16,9,0,6703.65,6703.65,5139.19,1564.45,keep
1,16,9,1,6451.53,6451.53,5113.70,1337.82,keep
1,17,0,0,5126.75,5126.75,5094.31,32.43,keep
1,17,0,1,5093.06,4873.83,5093.06,-219.23,replace
1,17,7,0,6176.24,6176.24,5094.31,1081.92,keep
1,17,7,1,5899.39,5899.39,5093.06,806.33,keep
1,17,8,0,6293.33,6293.33,5139.19,1154.14,keep
1,17,8,1,6133.18,6133.18,5113.70,1019.48,keep
1,17,9,0,6703.65,6703.65,5139.19,1564.45,keep
1,17,9,1,6451.53,6451.53,5113.70,1337.82,keep
1,18,0,0,5185.32,5185.32,5096.89,88.43,keep
1,18,0,1,5094.24,4916.10,5094.24,-178.15,replace
1,18,8,0,6293.33,6293.33,5139.19,1154.14,keep
1,18,8,1,6133.18,6133.18,5113.70,1019.48,keep
1,18,9,0,6703.65,6703.65,5139.19,1564.45,keep
1,18,9,1,6451.53,6451.53,5113.70,1337.82,keep
1,19,0,0,5264.99,5264.99,5099.35,165.65,keep
1,19,0,1,5095.37,5010.08,5095.37,-85.30,replace
1,19,9,0,6703.65,6703.65,5139.19,1564.45,keep
1,19,9,1,6451.53,6451.53,5113.70,1337.82,keep
1,20,0,0,5364.20,5364.20,5101.69,262.51,keep
1,20,0,1,5215.42,5215.42,5096.45,118.96,keep
2,1,0,0,7036.87,7036.87,5164.09,1872.78,keep
2,1,0,1,6493.19,6493.19,5165.17,1328.02,keep
2,2,0,0,6938.17,6938.17,5122.59,1815.57,keep
2,2,0,1,6342.64,6342.64,5138.88,1203.75,keep
2,3,0,0,6762.40,6762.40,5107.99,1654.41,keep
2,3,0,1,6140.77,6140.77,5129.00,1011.76,keep
2,4,0,0,6499.48,6499.48,5104.84,1394.64,keep
2,4,0,1,5893.64,5893.64,5126.17,767.47,keep
2,4,1,0,6884.23,6884.23,5104.84,1779.40,keep
2,4,1,1,6328.25,6328.25,5126.17,1202.09,keep
2,5,0,0,6234.77,6234.77,5106.86,1127.92,keep
2,5,0,1,5653.08,5653.08,5126.49,526.59,keep
2,5,1,0,6688.57,6688.57,5106.86,1581.71,keep
2,5,1,1,6157.31,6157.31,5126.49,1030.82,keep
2,5,2,0,6735.20,6735.20,5106.86,1628.34,keep
2,5,2,1,6203.86,6203.86,5126.49,1077.38,keep
2,6,0,0,5981.00,5981.00,5111.17,869.83,keep
2,6,0,1,5431.22,5431.22,5128.20,303.02,keep
2,6,1,0,6493.25,6493.25,5111.17,1382.08,keep
2,6,1,1,5989.00,5989.00,5128.20,860.79,keep
2,6,2,0,6560.45,6560.45,5111.17,1449.28,keep
2,6,2,1,6056.02,6056.02,5128.20,927.82,keep
2,6,3,0,6609.64,6609.64,5111.17,1498.47,keep
2,6,3,1,6105.42,6105.42,5128.20,977.21,keep
2,7,0,0,5747.93,5747.93,5116.44,631.49,keep
2,7,0,1,5244.87,5244.87,5130.51,114.36,keep
2,7,1,0,6303.07,6303.07,5116.44,1186.63,keep
2,7,1,1,5826.49,5826.49,5130.51,695.98,keep
2,7,2,0,6389.47,6389.47,5116.44,1273.03,keep
2,7,2,1,5912.62,5912.62,5130.51,782.11,keep
2,7,3,0,6460.37,6460.37,5116.44,1343.92,keep
2,7,3,1,5983.58,5983.58,5130.51,853.07,keep
2,7,4,0,6512.23,6512.23,5116.44,1395.79,keep
2,7,4,1,6036.58,6036.58,5130.51,906.07,keep
2,8,0,0,5543.06,5543.06,5122.01,421.05,keep
2,8,0,1,5133.02,5110.31,5133.02,-22.71,replace
2,8,1,0,6120.88,6120.88,5122.01,998.87,keep
2,8,1,1,5671.67,5671.67,5133.02,538.65,keep
2,8,2,0,6225.11,6225.11,5122.01,1103.10,keep
2,8,2,1,5775.54,5775.54,5133.02,642.52,keep
2,8,3,0,6316.27,6316.27,5122.01,1194.26,keep
2,8,3,1,5866.64,5866.64,5133.02,733.62,keep
2,8,4,0,6391.04,6391.04,5122.01,1269.02,keep
2,8,4,1,5942.32,5942.32,5133.02,809.30,keep
2,8,5,0,6445.64,6445.64,5122.01,1323.63,keep
2,8,5,1,6001.15,6001.15,5133.02,868.13,keep
2,9,0,0,5371.68,5371.68,5127.56,244.12,keep
2,9,0,1,5135.55,5000.51,5135.55,-135.05,replace
2,9,1,0,5948.33,5948.33,5127.56,820.76,keep
2,9,1,1,5525.62,5525.62,5135.55,390.07,keep
2,9,2,0,6069.06,6069.06,5127.56,941.50,keep
2,9,2,1,5645.92,5645.92,5135.55,510.37,keep
2,9,3,0,6179.04,6179.04,5127.56,1051.47,keep
2,9,3,1,5755.72,5755.72,5135.55,620.17,keep
2,9,4,0,6275.19,6275.19,5127.56,1147.62,keep
2,9,4,1,5852.55,5852.55,5135.55,717.00,keep
2,9,5,0,6353.97,6353.97,5127.56,1226.40,keep
2,9,5,1,5935.01,5935.01,5135.55,799.46,keep
2,9,6,0,6411.19,6411.19,5127.56,1283.62,keep
2,9,6,1,6006.60,6006.60,5135.55,871.05,keep
2,10,0,0,5240.71,5240.71,5132.94,107.77,keep
2,10,0,1,5138.01,4919.65,5138.01,-218.36,replace
2,10,1,0,5786.29,5786.29,5132.94,653.35,keep
2,10,1,1,5388.87,5388.87,5138.01,250.86,keep
2,10,2,0,5922.24,5922.24,5132.94,789.30,keep
2,10,2,1,5524.31,5524.31,5138.01,386.29,keep
2,10,3,0,6049.62,6049.62,5132.94,916.68,keep
2,10,3,1,5651.41,5651.41,5138.01,513.40,keep
2,10,4,0,6165.63,6165.63,5132.94,1032.69,keep
2,10,4,1,5767.90,5767.90,5138.01,629.89,keep
2,10,5,0,6266.98,6266.98,5132.94,1134.04,keep
2,10,5,1,5872.42,5872.42,5138.01,734.41,keep
2,10,6,0,6349.75,6349.75,5132.94,1216.81,keep
2,10,6,1,5968.00,5968.00,5138.01,829.98,keep
2,10,7,0,6408.83,6408.83,5132.94,1275.89,keep
2,10,7,1,6074.69,6074.69,5138.01,936.68,keep
